,district,percentage
0,Территория за пределами РФ,96.81955215029434
1,Республика Тыва,92.96295873262441
2,Кабардино-Балкарская Республика,91.57903302417913
3,Ямало-Ненецкий автономный округ,91.16667520623047
4,Чеченская Республика,91.1574260006905
5,Республика Северная Осетия - Алания,89.26346725367218
6,Республика Дагестан,87.05958846102465
7,Карачаево-Черкесская Республика,86.96679462111899
8,Кемеровская область,82.54406588112312
9,Республика Ингушетия,81.63562162285402
10,Чукотский автономный округ,81.38695924391044
11,Брянская область,78.92630522560344
12,Тюменская область,78.21380319537124
13,Республика Мордовия,77.25645044512035
14,Краснодарский край,77.19039652309193
15,Республика Татарстан (Татарстан),76.74717638265966
16,Чувашская Республика - Чувашия,75.14375258164556
17,Республика Башкортостан,74.8135895285744
18,Республика Бурятия,74.20006133291339
19,Республика Адыгея (Адыгея),73.51983844143501
20,Пензенская область,73.07342395880227
21,Ставропольский край,73.04973054299411
22,Белгородская область,72.49880219477298
23,Липецкая область,71.48524119232445
24,Орловская область,71.42420402344368
25,Тамбовская область,71.34648350078567
26,Магаданская область,70.8114902656247
27,город Севастополь,70.79909147222796
28,Республика Крым,70.78274621677853
29,Республика Саха (Якутия),70.2544013072667
30,Республика Калмыкия,68.7571813463291
31,Ханты-Мансийский автономный округ - Югра,68.74692018263482
32,Тульская область,67.84046484049165
33,Волгоградская область,67.44750972126322
34,Калужская область,67.3288657558557
35,Камчатский край,66.90957769457634
36,Ленинградская область,66.07453058827329
37,Самарская область,65.96962919905552
38,Саратовская область,65.89186154101654
39,Республика Марий Эл,65.82403965303594
40,Пермский край,65.54351520604025
41,Мурманская область,65.49826540257497
42,Вологодская область,65.49416830506006
43,Нижегородская область,65.36690512874853
44,Челябинская область,65.3505893042457
45,Оренбургская область,65.33667642063098
46,Республика Хакасия,65.03189022033243
47,Псковская область,64.72244287428646
48,Алтайский край,64.59521798614095
49,Рязанская область,64.50648185470763
50,Ростовская область,64.16122357197406
51,Республика Алтай,64.1559307953251
52,Владимирская область,64.14536520053696
53,Воронежская область,64.04608489519723
54,Курская область,63.907749193390295
55,Ульяновская область,63.61110055578777
56,Ярославская область,63.45227761394402
57,Хабаровский край,63.11033338086863
58,Ненецкий автономный округ,62.933873828223966
59,город Санкт-Петербург,62.89252994853538
60,Московская область,62.70330373828088
61,Удмуртская Республика,62.479382908842716
62,Кировская область,62.00510026638515
63,Свердловская область,61.51704177392167
64,Калининградская область,61.42131597285437
65,Амурская область,61.27860452885686
66,Курганская область,61.17985966964724
67,Смоленская область,60.53794140133321
68,Сахалинская область,60.142881187933654
69,Приморский край,60.08440924349517
70,Костромская область,59.926600337901256
71,Астраханская область,59.818311722534176
72,Омская область,59.65814838189062
73,Красноярский край,59.625612068148946
74,Новосибирская область,59.61511394908682
75,Республика Коми,59.49032075256168
76,Еврейская автономная область,59.20260159572817
77,город Москва,58.96209569809544
78,Архангельская область,58.63831164995658
79,Томская область,58.54474946160843
80,Ивановская область,57.95967558703533
81,Забайкальский край,57.245200960946974
82,Тверская область,56.989537674928826
83,Новгородская область,56.593988924349524
84,Республика Карелия,56.44172133308446
85,Иркутская область,55.07041900948418
