,district,std
0,Сахалинская область,0.2019312853758834
1,Камчатский край,0.16896820928370695
2,Приморский край,0.1671701365752832
3,Мурманская область,0.16697864277648009
4,Республика Адыгея (Адыгея),0.1637267331819067
5,Республика Калмыкия,0.1603307335199929
6,Самарская область,0.155767880799464
7,Саратовская область,0.1550544694418556
8,Воронежская область,0.15043667103903124
9,Республика Татарстан (Татарстан),0.14434297889714276
10,Магаданская область,0.14323045765055606
11,Липецкая область,0.1418398955040446
12,Краснодарский край,0.14036974881853576
13,Архангельская область,0.13919464109359897
14,Белгородская область,0.13818853563236602
15,Хабаровский край,0.1363192333409008
16,Ставропольский край,0.13447367436294155
17,Республика Бурятия,0.13339540717742093
18,Ростовская область,0.13142685155590125
19,Республика Дагестан,0.13042374447500338
20,Пензенская область,0.1303197694597221
21,Тамбовская область,0.12935699911310214
22,Чувашская Республика - Чувашия,0.12911318823035162
23,Ульяновская область,0.1273444305340329
24,Нижегородская область,0.12477670723539584
25,Красноярский край,0.1245692768923528
26,Республика Башкортостан,0.1244596092662086
27,Карачаево-Черкесская Республика,0.12366180981844964
28,Волгоградская область,0.12174716328136477
29,Забайкальский край,0.119645960342588
30,Орловская область,0.11807908163851848
31,Калининградская область,0.11800697996630062
32,Республика Мордовия,0.11687441385567664
33,Амурская область,0.11655674891009432
34,Республика Хакасия,0.11612061656984145
35,Омская область,0.1160688994862599
36,город Санкт-Петербург,0.11567607954972434
37,Тюменская область,0.11562017842787954
38,Рязанская область,0.11549802664973277
39,Республика Коми,0.11443909938440176
40,Калужская область,0.11428632155791257
41,Республика Саха (Якутия),0.11420228783762114
42,Чеченская Республика,0.11410620136008622
43,Тульская область,0.11295763778294267
44,Астраханская область,0.11129587802226061
45,Республика Крым,0.11077735965938838
46,Тверская область,0.11032699815840155
47,Кемеровская область,0.11001987632131502
48,Курская область,0.10979790401361374
49,Кировская область,0.10940073757241571
50,Еврейская автономная область,0.10786536952300903
51,Брянская область,0.10655995685196844
52,Ненецкий автономный округ,0.10613574432345509
53,Иркутская область,0.10598047904800095
54,Ленинградская область,0.1042310456194465
55,Оренбургская область,0.10198266596760105
56,Чукотский автономный округ,0.1017667170310437
57,Ивановская область,0.10110459877175262
58,Пермский край,0.10061214862697841
59,Московская область,0.10042470134182979
60,Республика Алтай,0.1004057176399466
61,Ханты-Мансийский автономный округ - Югра,0.09972834621968847
62,Новосибирская область,0.09971543963135499
63,Смоленская область,0.09948371984052291
64,Алтайский край,0.0986815310652025
65,Псковская область,0.09845030371226107
66,Удмуртская Республика,0.09641101410420544
67,Челябинская область,0.0946343792754891
68,Ямало-Ненецкий автономный округ,0.09400187061372696
69,Курганская область,0.09226268580971454
70,Вологодская область,0.09067865677492959
71,Территория за пределами РФ,0.0901431971219376
72,Республика Карелия,0.08826417046897528
73,город Москва,0.08801134473727688
74,Ярославская область,0.08569739283158649
75,Новгородская область,0.08406650321175542
76,Свердловская область,0.08348961741737239
77,Томская область,0.08275215304347
78,Республика Марий Эл,0.08171519369042404
79,Республика Северная Осетия - Алания,0.08018732436328968
80,Владимирская область,0.07524108511735779
81,Республика Ингушетия,0.06954796780606019
82,Костромская область,0.06929572736127419
83,город Севастополь,0.06714960791891457
84,Республика Тыва,0.06419509041592876
85,Кабардино-Балкарская Республика,0.03732790511394599
